"Местное время в Караганде / Сары-Арке (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"30.09.2020 23:30";"-5.0";"721.5";"772.7";"80";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 23:00";"-3.0";"721.9";"772.7";"74";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 22:30";"-4.0";"721.7";"772.7";"80";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 22:00";"-4.0";"721.7";"772.7";"80";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 21:30";"-4.0";"721.7";"772.7";"74";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 21:00";"-2.0";"722.1";"772.7";"69";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 20:30";"-2.0";"721.3";"771.9";"69";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 20:00";"-2.0";"721.3";"771.9";"64";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 19:30";"0.0";"721.7";"771.9";"55";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 19:00";"3.0";"722.2";"771.9";"45";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 18:30";"7.0";"722.9";"771.9";"34";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 18:00";"9.0";"723.2";"771.9";"27";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"30.09.2020 17:30";"10.0";"723.4";"771.9";"25";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"30.09.2020 17:00";"11.0";"723.6";"771.9";"22";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"30.09.2020 16:30";"11.0";"723.6";"771.9";"22";"Ветер, дующий с востоко-северо-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-10.0";
"30.09.2020 16:00";"12.0";"723.7";"771.9";"24";"Ветер, дующий с востоко-северо-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 15:30";"11.0";"723.6";"771.9";"24";"Ветер, дующий с востоко-северо-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-9.0";
"30.09.2020 15:00";"11.0";"723.6";"771.9";"26";"Ветер, дующий с востоко-северо-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 14:30";"11.0";"723.6";"771.9";"26";"Ветер, дующий с востоко-северо-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"30.09.2020 14:00";"11.0";"724.3";"772.7";"28";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 13:30";"10.0";"724.1";"772.7";"32";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 13:00";"10.0";"724.1";"772.7";"32";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 12:30";"9.0";"724.0";"772.7";"34";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 12:00";"8.0";"724.5";"773.4";"34";"Ветер, дующий с востоко-северо-востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 11:30";"8.0";"724.5";"773.4";"43";"Ветер, дующий с востока";"7";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"30.09.2020 11:00";"7.0";"724.3";"773.4";"49";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 10:30";"6.0";"724.1";"773.4";"61";"Ветер, дующий с востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"-1.0";
"30.09.2020 10:00";"4.0";"723.8";"773.4";"75";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"30.09.2020 09:30";"2.0";"723.4";"773.4";"87";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
"30.09.2020 09:00";"1.0";"723.3";"773.4";"87";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-1.0";
"30.09.2020 08:30";"-1.0";"722.9";"773.4";"86";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 08:00";"-3.0";"722.5";"773.4";"86";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"30.09.2020 07:30";"-5.0";"722.2";"773.4";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 07:00";"-5.0";"722.2";"773.4";"93";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 06:30";"-6.0";"722.0";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"30.09.2020 06:00";"-5.0";"722.2";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 05:30";"-4.0";"722.4";"773.4";"93";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"30.09.2020 05:00";"-5.0";"721.5";"772.7";"93";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"30.09.2020 04:30";"-4.0";"722.4";"773.4";"93";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"30.09.2020 04:00";"-4.0";"722.4";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"30.09.2020 03:30";"-2.0";"722.7";"773.4";"93";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 03:00";"-2.0";"722.7";"773.4";"93";"Ветер, дующий с востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 02:30";"-2.0";"722.7";"773.4";"93";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 02:00";"-2.0";"722.7";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"30.09.2020 01:30";"-1.0";"722.9";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-2.0";
"30.09.2020 01:00";"-1.0";"722.9";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-2.0";
"30.09.2020 00:30";"0.0";"723.1";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-1.0";
"30.09.2020 00:00";"1.0";"723.3";"773.4";"93";"Ветер, дующий с востоко-северо-востока";"3";"";"";"";"Незначительная (10-30%) 1230 м";"10.0 и более";"0.0";
"29.09.2020 23:30";"3.0";"723.6";"773.4";"87";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"1.0";
"29.09.2020 23:00";"4.0";"723.8";"773.4";"87";"Ветер, дующий с северо-востока";"4";"";"";"";"Незначительная (10-30%) 840 м";"10.0 и более";"2.0";
"29.09.2020 22:30";"6.0";"724.1";"773.4";"81";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Рассеянная (40-50%) 750 м";"10.0 и более";"3.0";
"29.09.2020 22:00";"8.0";"724.5";"773.4";"82";"Ветер, дующий с северо-востока";"6";"";"";"";"Незначительная (10-30%) 300 м, разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"5.0";
"29.09.2020 21:30";"9.0";"724.6";"773.4";"82";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 21:00";"9.0";"724.6";"773.4";"82";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 690 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 20:30";"9.0";"724.6";"773.4";"82";"Ветер, дующий с северо-востока";"4";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 20:00";"10.0";"724.8";"773.4";"82";"Ветер, дующий с северо-востока";"5";"";"";"";"Рассеянная (40-50%) 510 м, кучево-дождевые облака";"10.0 и более";"7.0";
"29.09.2020 19:30";"10.0";"724.8";"773.4";"82";"Ветер, дующий с северо-востока";"7";"";"";"";"Рассеянная (40-50%) 480 м, кучево-дождевые облака";"10.0 и более";"7.0";
"29.09.2020 19:00";"10.0";"724.1";"772.7";"88";"Ветер, дующий с северо-востока";"6";"";"";"";"Рассеянная (40-50%) 420 м, кучево-дождевые облака";"10.0 и более";"8.0";
"29.09.2020 18:30";"11.0";"724.3";"772.7";"82";"Ветер, дующий с северо-северо-востока";"8";"";"";"";"Рассеянная (40-50%) 900 м, кучево-дождевые облака";"10.0 и более";"8.0";
"29.09.2020 18:00";"13.0";"724.6";"772.7";"72";"Ветер, дующий с севера";"4";"";"";"";"Разорванная (60-90%) 960 м";"10.0 и более";"8.0";
"29.09.2020 17:30";"13.0";"723.9";"771.9";"67";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"29.09.2020 17:00";"14.0";"724.0";"771.9";"63";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"29.09.2020 16:30";"14.0";"724.0";"771.9";"59";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1440 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 16:00";"14.0";"724.0";"771.9";"59";"Ветер, дующий с севера";"5";"";"";"";"Рассеянная (40-50%) 1440 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 15:30";"14.0";"724.0";"771.9";"59";"Ветер, дующий с севера";"6";"";"";"";"Рассеянная (40-50%) 1440 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 15:00";"15.0";"724.2";"771.9";"51";"Ветер, дующий с севера";"6";"";"";"";"Рассеянная (40-50%) 1380 м, кучево-дождевые облака";"10.0 и более";"5.0";
"29.09.2020 14:30";"14.0";"724.0";"771.9";"55";"Ветер, дующий с севера";"6";"";"";"";"Рассеянная (40-50%) 1620 м, кучево-дождевые облака";"10.0 и более";"5.0";
"29.09.2020 14:00";"15.0";"724.2";"771.9";"51";"Ветер, дующий с севера";"7";"";"";"";"Рассеянная (40-50%) 1770 м, кучево-дождевые облака";"10.0 и более";"5.0";
"29.09.2020 13:30";"16.0";"724.4";"771.9";"48";"Ветер, дующий с севера";"7";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"5.0";
"29.09.2020 13:00";"15.0";"724.2";"771.9";"55";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 12:30";"14.0";"724.0";"771.9";"59";"Ветер, дующий с северо-запада";"5";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 12:00";"14.0";"724.0";"771.9";"59";"Ветер, дующий с запада";"4";"";"";"";"Незначительная (10-30%) 1290 м, кучево-дождевые облака";"10.0 и более";"6.0";
"29.09.2020 11:30";"13.0";"723.9";"771.9";"59";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1290 м";"10.0 и более";"5.0";
"29.09.2020 11:00";"11.0";"723.6";"771.9";"67";"Ветер, дующий с запада";"5";"";"";"";"Рассеянная (40-50%) 1320 м";"10.0 и более";"5.0";
"29.09.2020 10:30";"10.0";"723.4";"771.9";"67";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.09.2020 10:00";"9.0";"723.2";"771.9";"71";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.09.2020 09:30";"8.0";"723.1";"771.9";"76";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"29.09.2020 09:00";"7.0";"722.9";"771.9";"76";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"29.09.2020 08:30";"6.0";"722.0";"771.1";"81";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"29.09.2020 08:00";"5.0";"721.8";"771.1";"81";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 07:30";"4.0";"721.6";"771.1";"81";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"29.09.2020 07:00";"4.0";"721.6";"771.1";"87";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 06:30";"2.0";"721.3";"771.1";"93";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"29.09.2020 06:00";"3.0";"721.5";"771.1";"87";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"29.09.2020 05:30";"4.0";"721.6";"771.1";"87";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 05:00";"4.0";"721.6";"771.1";"87";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 04:00";"6.0";"722.0";"771.1";"76";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 03:30";"5.0";"721.8";"771.1";"81";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 03:00";"5.0";"721.8";"771.1";"81";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 02:30";"5.0";"721.8";"771.1";"81";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"29.09.2020 02:00";"6.0";"722.0";"771.1";"71";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"29.09.2020 01:30";"6.0";"722.0";"771.1";"66";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"0.0";
